@relation 'Cleaned_data -ver 4'

@attribute LOC numeric
@attribute NBI numeric
@attribute LOCCOM numeric
@attribute NPM numeric
@attribute NSTAM numeric
@attribute NOF numeric
@attribute NSTAF numeric
@attribute NMC numeric
@attribute NMCI numeric
@attribute NMCE numeric
@attribute WMC numeric
@attribute AMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute MFA numeric
@attribute CBO numeric
@attribute IC numeric
@attribute CBM numeric
@attribute CA numeric
@attribute CE numeric
@attribute LCOM numeric
@attribute LCOM3 numeric
@attribute CAM numeric
@attribute DAM numeric
@attribute NPRIF numeric
@attribute NPRIM numeric
@attribute NPROM numeric
@attribute T-LOC numeric
@attribute T-NOT numeric
@attribute T-NOA numeric
@attribute T-NMC numeric
@attribute T-WMC numeric
@attribute T-AMC numeric
@attribute MUTATION_SCORE {0,1}

@data
143,261,143,4,0,4,0,38,22,16,6,27.83,34,2,0,0.55,14,1,3,1,13,9,0.65,0.47,1,4,0,2,51,1,2,22,3,29.33,0
58,143,0,5,0,1,0,15,4,11,5,17.4,16,2,0,0.5,2,1,1,0,2,0,0,0.4,1,1,0,0,71,8,4,42,9,19.33,0
405,849,405,16,19,7,7,157,33,124,20,28.85,69,1,0,0,6,0,0,0,6,160,0.99,0.16,0.43,3,3,0,136,11,0,105,13,22.31,0
866,502,866,16,1,8,3,52,1,51,18,16.06,41,1,0,0,12,0,0,0,12,0,0.71,0.28,1,6,0,1,42,1,1,5,2,24.5,0
135,324,135,0,16,3,3,88,7,81,17,15.18,31,1,0,0,3,0,0,0,3,136,1.06,0.43,0,0,0,0,97,4,0,52,6,27.67,0
117,253,94,2,0,4,0,33,19,14,4,38.75,21,1,0,0,10,0,0,0,10,0,0.42,0.33,1,4,2,0,110,1,3,55,3,65,0
182,422,161,22,0,8,0,45,7,38,22,11.86,34,1,0,0,1,0,0,0,1,97,0.8,0.28,1,8,0,0,29,1,3,17,2,39.5,0
1193,5679,1193,26,40,5,2,1365,287,1078,60,64.98,151,1,0,0,11,0,0,0,11,1746,0.92,0.25,1,5,31,0,239,12,43,222,13,47.54,0
935,4958,921,4,6,12,11,442,53,389,9,449,55,1,0,0,10,0,0,1,9,16,0.98,0.18,0.08,1,3,0,97,3,0,29,4,38,0
601,1528,601,15,0,10,2,196,79,117,22,45.95,103,2,0,0.18,10,0,0,1,9,105,0.75,0.19,1,8,3,4,147,11,14,51,12,20,0
172,358,172,13,1,2,1,39,10,29,15,14.4,38,2,0,0.32,6,1,4,0,6,0,0.54,0.28,1,2,1,0,92,3,7,34,6,31.67,0
255,541,255,2,7,5,3,94,41,53,12,28.25,61,2,0,0.38,14,0,0,1,13,44,0.82,0.23,1,5,4,5,259,16,0,170,17,32,0
188,500,188,14,1,5,1,88,11,77,15,22.47,42,1,0,0,3,0,0,0,3,51,0.74,0.29,0.2,1,1,0,163,6,9,150,8,46.38,0
494,1300,492,7,0,5,0,141,45,96,16,53.19,60,1,0,0,8,0,0,0,8,22,0.65,0.26,1,0,5,4,111,2,34,115,4,67.75,0
172,659,162,13,0,8,1,28,0,28,13,30.31,31,2,0,0.21,1,1,1,0,1,0,0.66,0.23,1,8,0,0,61,1,15,58,3,78.33,0
69,120,69,9,0,1,0,14,2,12,9,7.44,20,2,0,0.58,2,0,0,0,2,0,0,0.26,1,1,0,0,41,1,0,26,2,35,0
160,383,160,7,1,8,5,35,6,29,9,24.44,28,1,0,0,2,0,0,1,1,0,0.81,0.38,0.5,4,1,0,59,1,12,60,2,66.5,0
123,234,123,12,0,4,1,36,11,25,12,12.33,41,1,0,0,21,0,0,0,21,6,0.7,0.25,1,4,0,0,83,2,0,35,5,20,0
111,258,86,3,1,3,2,44,10,34,4,38.5,31,3,0,0.71,13,1,1,0,13,0,0.89,0.56,1,3,0,0,170,3,3,102,6,50.17,0
117,196,101,3,0,3,0,33,10,23,3,40.67,27,2,0,0.5,11,1,1,0,11,1,0,0.67,1,3,0,0,113,2,0,79,4,45.5,0
133,205,127,10,9,0,0,24,7,17,10,11.7,19,1,0,0,2,0,0,0,2,45,2,0.33,0,0,0,0,100,7,5,51,8,19.12,0
85,175,85,5,0,1,0,19,2,17,6,18.67,20,1,0,0,2,0,0,0,2,0,0.2,0.5,1,1,1,0,37,1,2,7,2,19.5,0
81,112,81,6,0,3,1,17,5,12,6,11.67,17,4,0,0.92,6,1,1,0,6,9,0.93,1,1,3,0,0,74,2,2,37,3,35.67,0
79,123,79,6,0,0,0,15,3,12,7,10.86,19,1,0,0,1,0,0,0,1,21,2,0.4,0,0,0,1,84,4,2,45,6,24,0
79,123,79,6,0,0,0,15,3,12,7,10.86,19,1,0,0,1,0,0,0,1,21,2,0.4,0,0,0,1,86,4,2,45,6,24,0
163,230,163,14,0,7,0,22,8,14,14,10.21,30,1,0,0,8,0,0,1,7,51,0.85,0.31,1,7,0,0,71,4,4,17,6,12,0
104,214,82,2,3,1,1,40,18,22,4,32.75,35,1,0,0,13,0,0,3,10,6,1,0.38,1,0,1,0,51,1,6,25,3,29.67,0
96,267,84,8,4,4,2,31,7,24,11,14.82,33,1,0,0,2,1,1,0,2,21,0.47,0.26,0.75,3,0,0,39,4,4,22,5,10.2,0
302,1382,302,10,6,2,0,226,55,171,20,47.75,87,2,0,0.24,11,1,2,0,11,146,0.55,0.21,1,2,1,5,216,4,64,181,5,120.4,0
302,601,302,11,0,8,3,53,14,39,12,32.42,40,2,0,0.55,5,2,3,0,5,0,0.64,0.23,1,8,1,0,132,8,54,145,10,61.5,0
212,748,83,1,2,5,3,97,8,89,9,56.11,49,1,0,0,5,0,0,0,5,20,0.72,0.31,0.8,4,5,0,78,3,10,41,4,46,0
385,885,354,11,1,4,1,175,57,118,18,31.67,87,2,0,0.4,24,1,2,0,24,0,0.57,0.21,1,4,1,2,163,5,0,110,8,35.5,0
131,203,131,8,0,5,0,8,2,6,14,7.64,21,1,0,0,1,1,1,0,1,63,0.86,0.25,1,5,0,0,72,6,7,30,8,10.88,0
240,694,240,6,7,0,0,97,12,85,8,54.88,52,1,0,0,14,0,0,1,13,28,2,0.36,0,0,2,0,176,9,13,69,12,20.83,0
